brand_model,brand,model,mileage,fuel,gear,offer_type,price,hp,year,age
Opel Meriva,Opel,Meriva,93966,Gasoline,Manual,Used,6990,120.0,2012,11
Volkswagen up!,Volkswagen,up!,3000,Gasoline,Manual,Used,6990,60.0,2012,11
Volkswagen Golf,Volkswagen,Golf,111100,Gasoline,Manual,Used,6990,105.0,2012,11
Volkswagen Golf Variant,Volkswagen,Golf Variant,120521,Gasoline,Manual,Used,6995,105.0,2012,11
Opel Insignia,Opel,Insignia,154650,Diesel,Manual,Used,6998,160.0,2012,11
Volkswagen Polo,Volkswagen,Polo,55000,Gasoline,Manual,Used,6999,69.0,2012,11
BMW 118,BMW,118,208011,Diesel,Manual,Used,6999,143.0,2012,11
Ford Focus,Ford,Focus,149000,Gasoline,Manual,Used,7990,150.0,2013,10
Opel Adam,Opel,Adam,74000,Gasoline,Manual,Used,7990,87.0,2013,10
SEAT Leon,SEAT,Leon,158000,Gasoline,Manual,Used,7990,140.0,2013,10
Opel Astra,Opel,Astra,79000,Gasoline,Manual,Used,7990,140.0,2013,10
Skoda Octavia,Skoda,Octavia,103000,Gasoline,Manual,Used,7990,105.0,2013,10
Volkswagen Polo,Volkswagen,Polo,112152,Diesel,Manual,Used,7995,90.0,2013,10
Peugeot 208,Peugeot,208,103937,Diesel,Manual,Used,7997,114.0,2013,10
Opel Zafira,Opel,Zafira,102200,Diesel,Automatic,Used,7999,165.0,2013,10
Volkswagen Polo,Volkswagen,Polo,56350,Gasoline,Manual,Used,7999,90.0,2013,10
Skoda Rapid/Spaceback,Skoda,Rapid/Spaceback,150000,Gasoline,Automatic,Used,7999,122.0,2013,10
Peugeot 208,Peugeot,208,58600,Gasoline,Manual,Used,7999,82.0,2013,10
Volkswagen Golf Variant,Volkswagen,Golf Variant,150000,Diesel,Manual,Used,8000,105.0,2013,10
Mazda 3,Mazda,3,93288,Gasoline,Manual,Used,8100,105.0,2013,10
Volkswagen Golf Plus,Volkswagen,Golf Plus,40950,Gasoline,Manual,Used,8100,105.0,2013,10
Volkswagen Golf,Volkswagen,Golf,132170,Diesel,Manual,Used,8150,105.0,2013,10
Opel Astra,Opel,Astra,68000,Gasoline,Automatic,Used,8290,140.0,2013,10
MINI One,MINI,One,71900,Gasoline,Manual,Used,8199,75.0,2014,9
Renault Megane,Renault,Megane,83663,Gasoline,Manual,Used,8199,110.0,2014,9
Peugeot 208,Peugeot,208,69000,Diesel,Manual,Used,8200,114.0,2014,9
Mercedes-Benz C 220,Mercedes-Benz,C 220,254896,Diesel,Manual,Used,8290,170.0,2014,9
Ford Fiesta,Ford,Fiesta,63320,Gasoline,Manual,Used,8338,101.0,2014,9
Peugeot 2008,Peugeot,2008,100000,Diesel,Manual,Used,8400,92.0,2014,9
Opel Meriva,Opel,Meriva,123650,Gasoline,Automatic,Used,8450,140.0,2014,9
Volkswagen Golf,Volkswagen,Golf,166265,Diesel,Manual,Used,8450,110.0,2014,9
SEAT Ibiza,SEAT,Ibiza,65000,Gasoline,Manual,Used,8490,86.0,2014,9
Opel Insignia,Opel,Insignia,150000,Diesel,Manual,Used,8497,163.0,2014,9
Renault Megane,Renault,Megane,38000,Gasoline,Manual,Used,8500,116.0,2014,9
Renault Clio,Renault,Clio,38200,Gasoline,Manual,Used,8500,73.0,2014,9
Opel Zafira,Opel,Zafira,119000,Gasoline,Manual,Used,8599,140.0,2014,9
Hyundai i30,Hyundai,i30,55000,Gasoline,Manual,Used,8699,120.0,2014,9
Ford EcoSport,Ford,EcoSport,53600,Gasoline,Manual,Used,8700,125.0,2014,9
Ford S-Max,Ford,S-Max,293000,Diesel,Manual,Used,8850,163.0,2015,8
Audi A3,Audi,A3,212000,Diesel,Manual,Used,8890,150.0,2015,8
Volkswagen Caddy,Volkswagen,Caddy,80000,Diesel,Manual,Used,8900,75.0,2015,8
Peugeot 2008,Peugeot,2008,62480,Gasoline,Manual,Used,8900,82.0,2015,8
Renault Captur,Renault,Captur,62301,Diesel,Manual,Used,8900,90.0,2015,8
Volkswagen Polo,Volkswagen,Polo,68000,Gasoline,Manual,Used,8950,60.0,2015,8
Opel Astra,Opel,Astra,80500,Diesel,Manual,Used,8990,110.0,2015,8
Citroen C1,Citroen,C1,19765,Gasoline,Manual,Used,8990,69.0,2015,8
SEAT Ibiza,SEAT,Ibiza,25000,Gasoline,Manual,Used,8990,95.0,2015,8
Kia Ceed / cee'd,Kia,Ceed / cee'd,74750,Gasoline,Manual,Used,8990,135.0,2015,8
Opel Adam,Opel,Adam,36991,Gasoline,Manual,Used,8990,69.0,2015,8
Dacia Duster,Dacia,Duster,53000,Gasoline,Manual,Used,8999,114.0,2015,8
Opel Astra,Opel,Astra,67500,Gasoline,Manual,Used,8999,140.0,2015,8
Volkswagen Polo,Volkswagen,Polo,85500,Diesel,Manual,Used,9350,75.0,2015,8
Volkswagen Golf,Volkswagen,Golf,131150,Diesel,Automatic,Used,9390,110.0,2015,8
Peugeot 108,Peugeot,108,8500,Gasoline,Manual,Used,8490,69.0,2016,7
Ford Fiesta,Ford,Fiesta,28100,Gasoline,Manual,Used,8490,60.0,2016,7
MINI One,MINI,One,79000,Gasoline,Manual,Used,8500,75.0,2016,7
Toyota Yaris,Toyota,Yaris,30518,Gasoline,Manual,Used,8510,69.0,2016,7
Ford B-Max,Ford,B-Max,33300,Gasoline,Manual,Used,8550,101.0,2016,7
Ford Focus,Ford,Focus,81000,Diesel,Manual,Used,8590,105.0,2016,7
Volkswagen up!,Volkswagen,up!,50000,Gasoline,Manual,Used,8591,75.0,2016,7
Ford Fiesta,Ford,Fiesta,23000,Gasoline,Manual,Used,8600,80.0,2016,7
smart forFour,smart,forFour,40000,Gasoline,Automatic,Used,8690,71.0,2016,7
Peugeot 208,Peugeot,208,63588,Gasoline,Manual,Used,8699,82.0,2016,7
Kia Rio,Kia,Rio,66371,Gasoline,Manual,Used,8790,84.0,2016,7
Peugeot 208,Peugeot,208,43530,Gasoline,Manual,Used,8800,82.0,2016,7
Volkswagen Polo,Volkswagen,Polo,63419,Gasoline,Manual,Used,8800,60.0,2016,7
Opel Corsa,Opel,Corsa,41000,Gasoline,Manual,Used,8840,90.0,2016,7
Renault Megane,Renault,Megane,106379,Diesel,Manual,Used,8880,110.0,2016,7
SEAT Ibiza,SEAT,Ibiza,60000,Gasoline,Manual,Used,8890,90.0,2016,7
Skoda Citigo,Skoda,Citigo,38211,Gasoline,Manual,Used,6650,60.0,2017,6
Skoda Citigo,Skoda,Citigo,51491,Gasoline,Manual,Used,6666,60.0,2017,6
Volkswagen up!,Volkswagen,up!,34246,Gasoline,Manual,Used,6689,60.0,2017,6
Skoda Citigo,Skoda,Citigo,34067,Gasoline,Manual,Used,6720,60.0,2017,6
Volkswagen up!,Volkswagen,up!,66663,Gasoline,Manual,Used,6748,60.0,2017,6
Skoda Fabia,Skoda,Fabia,181468,Diesel,Manual,Used,6777,90.0,2017,6
Volkswagen up!,Volkswagen,up!,29586,Gasoline,Manual,Used,6780,60.0,2017,6
Volkswagen up!,Volkswagen,up!,68500,Gasoline,Manual,Demonstration,6789,60.0,2017,6
Volkswagen up!,Volkswagen,up!,49896,Gasoline,Manual,Used,6790,60.0,2017,6
Volkswagen up!,Volkswagen,up!,59674,Gasoline,Manual,Used,6795,60.0,2017,6
Volkswagen up!,Volkswagen,up!,67400,Gasoline,Manual,Used,6800,60.0,2017,6
Toyota Aygo,Toyota,Aygo,34000,Gasoline,Manual,Used,6840,69.0,2017,6
Volkswagen up!,Volkswagen,up!,42927,Gasoline,Manual,Used,6848,60.0,2017,6
Volkswagen up!,Volkswagen,up!,49712,Gasoline,Manual,Used,6849,60.0,2017,6
Volkswagen up!,Volkswagen,up!,40307,Gasoline,Manual,Used,6849,60.0,2017,6
Volkswagen up!,Volkswagen,up!,54901,Gasoline,Manual,Used,6880,60.0,2017,6
Volkswagen up!,Volkswagen,up!,63500,Gasoline,Manual,Demonstration,6889,60.0,2017,6
Volkswagen up!,Volkswagen,up!,34658,Gasoline,Manual,Used,6890,60.0,2017,6
Volkswagen up!,Volkswagen,up!,41835,Gasoline,Manual,Used,6890,60.0,2017,6
Volkswagen up!,Volkswagen,up!,29517,Gasoline,Manual,Used,6898,60.0,2017,6
Kia Picanto,Kia,Picanto,17450,Gasoline,Manual,Used,7900,67.0,2018,5
Volkswagen up!,Volkswagen,up!,59210,Gasoline,Manual,Used,7989,60.0,2018,5
Toyota Aygo,Toyota,Aygo,21200,Gasoline,Manual,Used,7990,69.0,2018,5
Volkswagen up!,Volkswagen,up!,22000,Gasoline,Manual,Used,7990,60.0,2018,5
Skoda Citigo,Skoda,Citigo,29800,Gasoline,Manual,Used,7997,60.0,2018,5
Volkswagen up!,Volkswagen,up!,59969,Gasoline,Manual,Used,7997,60.0,2018,5
Volkswagen up!,Volkswagen,up!,123865,Gasoline,Manual,Used,7997,90.0,2018,5
Toyota Aygo,Toyota,Aygo,11390,Gasoline,Manual,Used,8220,72.0,2018,5
Mitsubishi Space Star,Mitsubishi,Space Star,11095,Gasoline,Manual,Used,8300,71.0,2018,5
Skoda Fabia,Skoda,Fabia,42000,Gasoline,Manual,Used,8390,75.0,2018,5
Renault Twingo,Renault,Twingo,25500,Gasoline,Manual,Used,8400,90.0,2018,5
Toyota Aygo,Toyota,Aygo,48200,Gasoline,Manual,Used,8450,69.0,2018,5
Toyota Aygo,Toyota,Aygo,65500,Gasoline,Manual,Used,8450,69.0,2018,5
Mitsubishi Space Star,Mitsubishi,Space Star,12700,Gasoline,Manual,Used,8490,71.0,2018,5
smart forFour,smart,forFour,28951,Gasoline,Manual,Used,8490,71.0,2018,5
Volkswagen up!,Volkswagen,up!,75489,Gasoline,Manual,Used,8495,90.0,2018,5
Skoda Fabia,Skoda,Fabia,125900,Diesel,Manual,Used,8500,105.0,2018,5
Renault Clio,Renault,Clio,110800,Diesel,Manual,Used,8640,90.0,2018,5
Volkswagen up!,Volkswagen,up!,54497,Gasoline,Manual,Used,8677,60.0,2018,5
Renault Clio,Renault,Clio,8745,Gasoline,Manual,Demonstration,9960,76.0,2019,4
Renault Clio,Renault,Clio,8852,Gasoline,Manual,Demonstration,9960,76.0,2019,4
Renault Clio,Renault,Clio,6478,Gasoline,Manual,Demonstration,9960,90.0,2019,4
Opel Corsa,Opel,Corsa,21000,Gasoline,Manual,Used,9965,90.0,2019,4
Hyundai i20,Hyundai,i20,39550,Gasoline,Manual,Used,9980,75.0,2019,4
Toyota Aygo,Toyota,Aygo,15190,Gasoline,Manual,Used,9990,72.0,2019,4
Peugeot 208,Peugeot,208,35666,Gasoline,Manual,Used,10085,83.0,2019,4
Peugeot 208,Peugeot,208,27122,Gasoline,Manual,Used,10085,83.0,2019,4
Renault Twingo,Renault,Twingo,5500,Gasoline,Manual,Used,10200,92.0,2019,4
smart forFour,smart,forFour,18250,Gasoline,Manual,Used,10300,71.0,2019,4
Hyundai i20,Hyundai,i20,39880,Gasoline,Manual,Used,10360,75.0,2019,4
Hyundai i20,Hyundai,i20,38118,Gasoline,Manual,Used,10390,75.0,2019,4
Toyota Yaris,Toyota,Yaris,33359,Gasoline,Manual,Used,10440,72.0,2019,4
Peugeot 108,Peugeot,108,15555,Gasoline,Manual,Used,10485,72.0,2019,4
Peugeot 208,Peugeot,208,13899,Gasoline,Manual,Used,10485,83.0,2019,4
Peugeot 208,Peugeot,208,27998,Gasoline,Manual,Used,10485,83.0,2019,4
Peugeot 208,Peugeot,208,6985,Gasoline,Manual,Used,10485,83.0,2019,4
Citroen C1,Citroen,C1,8600,Gasoline,Manual,Used,10490,72.0,2019,4
SEAT Leon,SEAT,Leon,12349,Gasoline,Manual,Used,21650,131.0,2020,3
SEAT Leon,SEAT,Leon,8491,Gasoline,Automatic,Used,22450,150.0,2020,3
SEAT Leon,SEAT,Leon,16326,Gasoline,Manual,Used,22960,150.0,2020,3
SEAT Leon,SEAT,Leon,11326,Gasoline,Automatic,Used,22960,150.0,2020,3
SEAT Leon,SEAT,Leon,12430,Diesel,Automatic,Demonstration,22960,116.0,2020,3
Ford Focus,Ford,Focus,8905,Gasoline,Automatic,Demonstration,22993,125.0,2020,3
SEAT Leon,SEAT,Leon,12500,Gasoline,Automatic,Demonstration,23960,150.0,2020,3
SEAT Leon,SEAT,Leon,10748,Diesel,Automatic,Demonstration,24250,116.0,2020,3
SEAT Leon,SEAT,Leon,11663,Gasoline,Automatic,Used,24450,150.0,2020,3
SEAT Leon,SEAT,Leon,15430,Gasoline,Automatic,Used,24450,150.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,20085,Gasoline,Manual,Used,24450,131.0,2020,3
Volkswagen T-Roc,Volkswagen,T-Roc,17271,Gasoline,Manual,Used,24450,150.0,2020,3
SEAT Leon,SEAT,Leon,20810,Gasoline,Automatic,Used,24650,150.0,2020,3
Mercedes-Benz A 180,Mercedes-Benz,A 180,6820,Gasoline,Manual,Employee's car,24880,136.0,2020,3
Kia Rio,Kia,Rio,20,Gasoline,Manual,Pre-registered,12440,84.0,2021,2
Kia Rio,Kia,Rio,50,Gasoline,Manual,Employee's car,12690,84.0,2021,2
Renault Twingo,Renault,Twingo,662,Gasoline,Manual,Demonstration,12790,65.0,2021,2
Hyundai i10,Hyundai,i10,650,Gasoline,Manual,Demonstration,12890,67.0,2021,2
Opel Corsa,Opel,Corsa,100,Gasoline,Manual,Pre-registered,12990,75.0,2021,2
Renault Twingo,Renault,Twingo,1250,Gasoline,Manual,Used,13290,65.0,2021,2
Kia Rio,Kia,Rio,20,Gasoline,Manual,Pre-registered,13340,84.0,2021,2
Renault Twingo,Renault,Twingo,2500,Gasoline,Manual,Demonstration,13390,65.0,2021,2
Toyota Aygo,Toyota,Aygo,5,Gasoline,Manual,Demonstration,13390,72.0,2021,2
Hyundai i10,Hyundai,i10,55,Gasoline,Manual,Pre-registered,13390,84.0,2021,2
Fiat 500,Fiat,500,49,Gasoline,Manual,Pre-registered,13390,69.0,2021,2
Hyundai i10,Hyundai,i10,11,Gasoline,Manual,Pre-registered,13390,84.0,2021,2
Toyota Aygo,Toyota,Aygo,1500,Gasoline,Manual,Demonstration,13480,72.0,2021,2
Hyundai i10,Hyundai,i10,990,Gasoline,Automatic,Demonstration,13490,67.0,2021,2
MINI One,MINI,One,119000,Gasoline,Manual,Used,5899,75.0,2011,12
smart forTwo,smart,forTwo,65200,Gasoline,Automatic,Used,5900,84.0,2011,12
Opel Astra,Opel,Astra,105867,Gasoline,Manual,Used,5990,140.0,2011,12
SEAT Leon,SEAT,Leon,79900,Gasoline,Manual,Used,5990,125.0,2011,12
smart forTwo,smart,forTwo,65000,Gasoline,Automatic,Used,5990,71.0,2011,12
SEAT Ibiza,SEAT,Ibiza,134165,Gasoline,Manual,Used,5990,69.0,2011,12
Ford Focus,Ford,Focus,155000,Gasoline,Manual,Used,5999,150.0,2011,12
Volkswagen Polo,Volkswagen,Polo,80200,Gasoline,Manual,Used,5999,86.0,2011,12
smart forTwo,smart,forTwo,45000,Gasoline,Automatic,Used,5999,71.0,2011,12
Ford Focus,Ford,Focus,154000,Gasoline,Manual,Used,5999,125.0,2011,12
Toyota Auris,Toyota,Auris,113000,Gasoline,Manual,Used,5999,99.0,2011,12
Audi A3,Audi,A3,165500,Diesel,Manual,Used,5999,105.0,2011,12
Volkswagen Polo,Volkswagen,Polo,79000,Gasoline,Manual,Used,6200,60.0,2012,11
smart forTwo,smart,forTwo,28500,Gasoline,Automatic,Used,6250,71.0,2012,11
smart forTwo,smart,forTwo,44500,Gasoline,Automatic,Used,6250,84.0,2012,11
Opel Insignia,Opel,Insignia,131000,Diesel,Manual,Used,6359,131.0,2012,11
Audi A3,Audi,A3,158000,Diesel,Manual,Used,6399,90.0,2012,11
Volkswagen up!,Volkswagen,up!,29700,Gasoline,Manual,Used,6400,60.0,2012,11
Opel Corsa,Opel,Corsa,76449,Gasoline,Manual,Used,6450,69.0,2012,11
Volkswagen Polo,Volkswagen,Polo,99200,Gasoline,Manual,Used,6470,60.0,2012,11
Ford Fiesta,Ford,Fiesta,155642,Gasoline,Manual,Used,6470,82.0,2012,11
Opel Corsa,Opel,Corsa,42005,Gasoline,Manual,Used,6485,69.0,2012,11
Opel Corsa,Opel,Corsa,87810,Gasoline,Manual,Used,6490,87.0,2012,11
SEAT Leon,SEAT,Leon,75000,Gasoline,Manual,Used,6490,105.0,2012,11
Volkswagen Golf,Volkswagen,Golf,146211,Diesel,Automatic,Used,6499,105.0,2012,11
Renault Megane,Renault,Megane,153000,Diesel,Manual,Used,7150,110.0,2013,10
Ford Focus,Ford,Focus,49500,Gasoline,Manual,Used,7200,125.0,2013,10
Volkswagen Caddy,Volkswagen,Caddy,130000,Diesel,Manual,Used,7300,102.0,2013,10
SEAT Ibiza,SEAT,Ibiza,52447,Gasoline,Manual,Used,7380,86.0,2013,10
Volkswagen Golf,Volkswagen,Golf,151395,Gasoline,Manual,Used,7399,140.0,2013,10
Nissan Qashqai,Nissan,Qashqai,142067,Diesel,Manual,Used,7400,131.0,2013,10
Opel Meriva,Opel,Meriva,84000,Gasoline,Manual,Used,7440,120.0,2013,10
Volkswagen Polo,Volkswagen,Polo,96500,Gasoline,Manual,Used,7450,60.0,2013,10
Volkswagen Golf,Volkswagen,Golf,178500,Diesel,Manual,Used,7470,140.0,2013,10
Volkswagen Polo,Volkswagen,Polo,63125,Gasoline,Manual,Used,7470,90.0,2013,10
Volkswagen Passat Variant,Volkswagen,Passat Variant,214364,Diesel,Manual,Used,7480,140.0,2013,10
Volkswagen Golf,Volkswagen,Golf,167580,Diesel,Manual,Used,7489,140.0,2013,10
MINI One,MINI,One,111072,Gasoline,Manual,Used,7490,98.0,2013,10
Opel Astra,Opel,Astra,106212,Gasoline,Manual,Used,7490,140.0,2013,10
Opel Corsa,Opel,Corsa,32300,Gasoline,Manual,Used,7490,86.0,2013,10
Ford Focus,Ford,Focus,96000,Diesel,Automatic,Used,7500,140.0,2013,10
Volkswagen up!,Volkswagen,up!,75789,Gasoline,Manual,Used,7379,75.0,2014,9
Opel Corsa,Opel,Corsa,78201,Gasoline,Manual,Used,7380,101.0,2014,9
Kia Ceed / cee'd,Kia,Ceed / cee'd,136800,Gasoline,Manual,Used,7399,99.0,2014,9
Skoda Rapid/Spaceback,Skoda,Rapid/Spaceback,28920,Gasoline,Manual,Used,7400,105.0,2014,9
Fiat 500,Fiat,500,45272,Gasoline,Manual,Used,7450,86.0,2014,9
Opel Insignia,Opel,Insignia,218000,Diesel,Automatic,Used,7470,163.0,2014,9
Volkswagen up!,Volkswagen,up!,17780,Gasoline,Manual,Used,7490,60.0,2014,9
Ford Fiesta,Ford,Fiesta,93041,Gasoline,Manual,Used,7490,82.0,2014,9
Volkswagen Caddy,Volkswagen,Caddy,139789,Diesel,Manual,Used,7500,102.0,2014,9
smart forTwo,smart,forTwo,35000,Gasoline,Automatic,Used,7500,71.0,2014,9
Kia Ceed / cee'd,Kia,Ceed / cee'd,145116,Diesel,Manual,Used,7500,128.0,2014,9
Peugeot 308,Peugeot,308,105000,Gasoline,Manual,Used,7500,110.0,2014,9
Renault Kangoo,Renault,Kangoo,80000,Diesel,Manual,Used,7500,75.0,2014,9
Opel Insignia,Opel,Insignia,170600,Diesel,Automatic,Used,7590,131.0,2014,9
Skoda Octavia,Skoda,Octavia,133850,Diesel,Manual,Used,7599,105.0,2014,9
Volkswagen Polo,Volkswagen,Polo,95000,Gasoline,Manual,Used,7350,60.0,2015,8
Opel Astra,Opel,Astra,152000,Diesel,Manual,Used,7390,165.0,2015,8
Renault Twingo,Renault,Twingo,27550,Gasoline,Manual,Used,7400,71.0,2015,8
Volkswagen Golf,Volkswagen,Golf,249998,Diesel,Manual,Used,7400,110.0,2015,8
Volkswagen Golf,Volkswagen,Golf,221762,Diesel,Automatic,Used,7400,110.0,2015,8
Volkswagen Polo,Volkswagen,Polo,95843,Gasoline,Manual,Used,7424,75.0,2015,8
Volkswagen up!,Volkswagen,up!,74957,Gasoline,Manual,Used,7450,75.0,2015,8
Volkswagen Golf,Volkswagen,Golf,252000,Diesel,Manual,Used,7480,110.0,2015,8
Ford Fiesta,Ford,Fiesta,109590,Gasoline,Manual,Used,7485,101.0,2015,8
smart forTwo,smart,forTwo,35540,Gasoline,Manual,Used,7490,71.0,2015,8
Opel Corsa,Opel,Corsa,64000,Gasoline,Manual,Used,7490,69.0,2015,8
Opel Astra,Opel,Astra,120000,Diesel,Manual,Used,7490,110.0,2015,8
Hyundai i30,Hyundai,i30,119543,Diesel,Manual,Used,7490,110.0,2015,8
Opel Corsa,Opel,Corsa,69599,Gasoline,Manual,Used,7499,90.0,2015,8
Ford Fiesta,Ford,Fiesta,31000,Gasoline,Manual,Used,7500,82.0,2015,8
Ford Fiesta,Ford,Fiesta,79323,Gasoline,Manual,Used,7750,80.0,2015,8
SEAT Ibiza,SEAT,Ibiza,67992,Gasoline,Manual,Used,7780,86.0,2015,8
Volkswagen Caddy,Volkswagen,Caddy,108128,Diesel,Manual,Used,7800,75.0,2015,8
Opel Astra,Opel,Astra,85440,Gasoline,Manual,Used,7899,116.0,2015,8
Citroen C1,Citroen,C1,88000,Gasoline,Manual,Used,5890,69.0,2016,7
Volkswagen up!,Volkswagen,up!,84000,Gasoline,Manual,Used,5900,60.0,2016,7
SEAT Ibiza,SEAT,Ibiza,154000,Diesel,Manual,Used,5900,75.0,2016,7
Ford Ka/Ka+,Ford,Ka/Ka+,75606,Gasoline,Manual,Used,5980,69.0,2016,7
Citroen C3,Citroen,C3,131737,Diesel,Manual,Used,5990,99.0,2016,7
Nissan Micra,Nissan,Micra,81000,Gasoline,Manual,Used,5999,80.0,2016,7
Nissan Micra,Nissan,Micra,76802,Gasoline,Manual,Used,5999,80.0,2016,7
Mitsubishi Space Star,Mitsubishi,Space Star,57600,Gasoline,Manual,Used,6070,71.0,2016,7
Peugeot 208,Peugeot,208,67500,Gasoline,Manual,Used,6200,68.0,2016,7
Volkswagen Touran,Volkswagen,Touran,354000,Diesel,Automatic,Used,6200,110.0,2016,7
Volkswagen up!,Volkswagen,up!,53796,Gasoline,Manual,Used,6290,60.0,2016,7
smart forTwo,smart,forTwo,64000,Gasoline,Manual,Used,6299,61.0,2016,7
Volkswagen Touran,Volkswagen,Touran,334000,Diesel,Automatic,Used,6300,110.0,2016,7
Ford Focus,Ford,Focus,178000,Diesel,Manual,Used,6300,120.0,2016,7
Hyundai i10,Hyundai,i10,75612,Gasoline,Manual,Used,6440,67.0,2016,7
Volkswagen up!,Volkswagen,up!,36725,Gasoline,Manual,Used,6450,60.0,2016,7
Dacia Sandero,Dacia,Sandero,126200,Gasoline,Manual,Used,6480,90.0,2016,7
Volkswagen up!,Volkswagen,up!,54000,Gasoline,Manual,Used,6490,60.0,2016,7
Volkswagen up!,Volkswagen,up!,65000,Gasoline,Manual,Used,6500,60.0,2016,7
Dacia Logan,Dacia,Logan,67000,Gasoline,Manual,Used,6500,73.0,2016,7
smart forTwo,smart,forTwo,44800,Gasoline,Automatic,Used,11699,90.0,2017,6
Skoda Octavia,Skoda,Octavia,120950,Diesel,Manual,Used,12390,150.0,2017,6
Renault Clio,Renault,Clio,25813,Gasoline,Manual,Used,12450,118.0,2017,6
Volkswagen Caddy,Volkswagen,Caddy,144230,Diesel,Manual,Used,12490,102.0,2017,6
SEAT Leon,SEAT,Leon,92300,Gasoline,Manual,Used,12900,125.0,2017,6
Peugeot 2008,Peugeot,2008,57043,Gasoline,Automatic,Used,12900,110.0,2017,6
Volkswagen Caddy,Volkswagen,Caddy,32800,Diesel,Manual,Used,13999,102.0,2017,6
Volkswagen Passat Variant,Volkswagen,Passat Variant,153570,Diesel,Manual,Used,14899,190.0,2017,6
Ford Focus,Ford,Focus,75685,Diesel,Automatic,Used,14950,150.0,2017,6
Skoda Superb,Skoda,Superb,97430,Diesel,Automatic,Used,16999,150.0,2017,6
Mazda CX-5,Mazda,CX-5,136167,Diesel,Automatic,Used,17980,150.0,2017,6
Hyundai Tucson,Hyundai,Tucson,31900,Diesel,Automatic,Used,17990,116.0,2017,6
Hyundai Tucson,Hyundai,Tucson,41000,Gasoline,Manual,Used,17990,132.0,2017,6
Volkswagen Golf,Volkswagen,Golf,49682,Gasoline,Automatic,Used,33880,310.0,2018,5
Volvo XC60,Volvo,XC60,38000,Gasoline,Automatic,Used,33900,250.0,2018,5
Mercedes-Benz C 220,Mercedes-Benz,C 220,110801,Diesel,Automatic,Used,34900,170.0,2018,5
Mercedes-Benz E 220,Mercedes-Benz,E 220,28933,Diesel,Automatic,Used,35445,194.0,2018,5
Volvo XC90,Volvo,XC90,59898,Diesel,Automatic,Used,35500,235.0,2018,5
Volvo XC90,Volvo,XC90,57200,Diesel,Automatic,Used,36900,235.0,2018,5
Volvo XC90,Volvo,XC90,46500,Diesel,Automatic,Used,36900,235.0,2018,5
Volvo XC60,Volvo,XC60,28200,Diesel,Automatic,Used,38890,190.0,2018,5
Volvo XC90,Volvo,XC90,79100,Diesel,Automatic,Used,43890,235.0,2018,5
Volvo XC90,Volvo,XC90,37250,Diesel,Automatic,Used,43890,235.0,2018,5
Mercedes-Benz E 220,Mercedes-Benz,E 220,62644,Diesel,Automatic,Used,29900,194.0,2019,4
Volkswagen Tiguan,Volkswagen,Tiguan,11656,Gasoline,Automatic,Used,29990,150.0,2019,4
Mercedes-Benz E 220,Mercedes-Benz,E 220,97740,Diesel,Automatic,Used,29995,194.0,2019,4
Mazda CX-5,Mazda,CX-5,22000,Gasoline,Automatic,Used,29999,194.0,2019,4
BMW 520,BMW,520,68895,Diesel,Automatic,Used,30450,190.0,2019,4
BMW 320,BMW,320,18056,Gasoline,Automatic,Used,30900,184.0,2019,4
BMW 320,BMW,320,21870,Gasoline,Automatic,Used,30900,184.0,2019,4
BMW 320,BMW,320,24950,Gasoline,Automatic,Used,30945,184.0,2019,4
Volkswagen Tiguan,Volkswagen,Tiguan,25291,Gasoline,Automatic,Used,32444,190.0,2019,4
BMW 320,BMW,320,26249,Diesel,Automatic,Used,32750,190.0,2019,4
Volvo V60,Volvo,V60,32440,Gasoline,Automatic,Used,32900,250.0,2019,4
Volvo XC60,Volvo,XC60,44800,Diesel,Automatic,Used,34890,190.0,2019,4
Volvo V60,Volvo,V60,28833,Gasoline,Automatic,Used,34999,250.0,2019,4
Volkswagen Touran,Volkswagen,Touran,10804,Diesel,Manual,Employee's car,32450,150.0,2020,3
Mercedes-Benz C 220,Mercedes-Benz,C 220,22234,Diesel,Automatic,Employee's car,32622,194.0,2020,3
Volkswagen Passat Variant,Volkswagen,Passat Variant,17000,Gasoline,Automatic,Demonstration,32666,190.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,19432,Gasoline,Automatic,Used,32850,150.0,2020,3
Mercedes-Benz C 200,Mercedes-Benz,C 200,19982,Gasoline,Automatic,Employee's car,32876,184.0,2020,3
Volkswagen Passat Variant,Volkswagen,Passat Variant,15343,Diesel,Automatic,Used,33333,190.0,2020,3
Skoda Octavia,Skoda,Octavia,18078,Gasoline,Automatic,Used,33333,245.0,2020,3
Skoda Octavia,Skoda,Octavia,9500,Diesel,Automatic,Demonstration,33450,150.0,2020,3
Mercedes-Benz C 220,Mercedes-Benz,C 220,26230,Diesel,Automatic,Employee's car,33822,194.0,2020,3
BMW 320,BMW,320,50,Gasoline,Automatic,Used,33950,184.0,2020,3
Volkswagen T-Roc,Volkswagen,T-Roc,6000,Diesel,Automatic,Employee's car,33950,150.0,2020,3
Mercedes-Benz C 200,Mercedes-Benz,C 200,13744,Gasoline,Automatic,Employee's car,34999,184.0,2020,3
Skoda Octavia,Skoda,Octavia,14800,Diesel,Automatic,Demonstration,34999,150.0,2020,3
Volvo XC60,Volvo,XC60,22650,Diesel,Automatic,Used,35490,190.0,2020,3
