brand_model,brand,model,mileage,fuel,gear,offer_type,price,hp,year,age
Volkswagen T-Roc,Volkswagen,T-Roc,23500,Gasoline,Automatic,Demonstration,24990,150.0,2020,3
Volkswagen Golf,Volkswagen,Golf,6231,Electric,Automatic,Employee's car,25525,136.0,2020,3
Volkswagen Caddy,Volkswagen,Caddy,7000,Gasoline,Manual,Used,25679,131.0,2020,3
Volkswagen Golf,Volkswagen,Golf,7500,Diesel,Manual,Demonstration,25740,116.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,5611,Gasoline,Automatic,Used,25824,150.0,2020,3
Volkswagen Golf,Volkswagen,Golf,2960,Gasoline,Automatic,Employee's car,25889,150.0,2020,3
Volkswagen Golf,Volkswagen,Golf,6000,Electric,Automatic,Demonstration,40990,150.0,2020,3
Volkswagen Sharan,Volkswagen,Sharan,4600,Diesel,Automatic,Used,42970,177.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,15500,Diesel,Automatic,Demonstration,43850,190.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,4000,Diesel,Automatic,Demonstration,43850,190.0,2020,3
Ford S-Max,Ford,S-Max,199,Diesel,Automatic,Pre-registered,44307,241.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,4500,Diesel,Automatic,Demonstration,45850,200.0,2020,3
Audi A6,Audi,A6,26561,Diesel,Automatic,Employee's car,47890,286.0,2020,3
Skoda Superb,Skoda,Superb,8500,Diesel,Automatic,Demonstration,47990,190.0,2020,3
Volvo XC60,Volvo,XC60,3122,Diesel,Automatic,Employee's car,50490,197.0,2020,3
Volvo XC60,Volvo,XC60,17592,Gasoline,Automatic,Used,55490,250.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,12306,Diesel,Automatic,Used,47515,239.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,10000,Diesel,Automatic,Used,47767,239.0,2020,3
Audi A6,Audi,A6,22395,Diesel,Automatic,Used,47862,286.0,2020,3
Audi A6,Audi,A6,16579,Diesel,Automatic,Used,48083,286.0,2020,3
Audi A5,Audi,A5,8984,Diesel,Automatic,Used,48425,163.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,7186,Diesel,Automatic,Used,49499,239.0,2020,3
Audi A6,Audi,A6,15666,Diesel,Automatic,Used,51042,286.0,2020,3
Volkswagen Tiguan,Volkswagen,Tiguan,11186,Diesel,Automatic,Used,52597,239.0,2020,3
Volvo XC90,Volvo,XC90,8371,Electric,Automatic,Used,55921,235.0,2020,3
Volvo XC60,Volvo,XC60,2324,Gasoline,Automatic,Used,56850,392.0,2020,3
Audi Q3,Audi,Q3,14432,Gasoline,Automatic,Employee's car,56979,230.0,2020,3
Skoda Octavia,Skoda,Octavia,50,Gasoline,Manual,Used,25898,150.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,6468,Gasoline,Automatic,Used,25925,150.0,2020,3
Volkswagen Golf Variant,Volkswagen,Golf Variant,4711,Gasoline,Automatic,Used,25950,150.0,2020,3
Ford Kuga,Ford,Kuga,10,Gasoline,Manual,Employee's car,25970,150.0,2020,3
Volkswagen Golf,Volkswagen,Golf,12950,Other,Automatic,Used,25984,131.0,2020,3
Volkswagen Golf,Volkswagen,Golf,9000,Diesel,Manual,Demonstration,25990,116.0,2020,3
Volkswagen Touran,Volkswagen,Touran,25819,Gasoline,Manual,Employee's car,25990,150.0,2020,3
Ford Transit,Ford,Transit,21780,Diesel,Manual,Used,26350,131.0,2020,3
Ford Mondeo,Ford,Mondeo,18500,Gasoline,Automatic,Used,26450,188.0,2020,3
Volkswagen Golf,Volkswagen,Golf,5766,Gasoline,Automatic,Used,26634,150.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,6840,Gasoline,Automatic,Used,26740,150.0,2020,3
Hyundai i30,Hyundai,i30,10,Electric,Automatic,Pre-registered,26790,159.0,2020,3
Volkswagen Passat,Volkswagen,Passat,19310,Diesel,Automatic,Used,26870,150.0,2020,3
Volkswagen Touran,Volkswagen,Touran,33850,Diesel,Automatic,Used,26870,116.0,2020,3
Volkswagen Golf,Volkswagen,Golf,12310,Electric,Automatic,Used,26940,204.0,2020,3
Volvo XC60,Volvo,XC60,15904,Diesel,Automatic,Demonstration,59490,235.0,2020,3
Volvo XC60,Volvo,XC60,20,Diesel,Automatic,Pre-registered,60100,235.0,2020,3
Volvo XC60,Volvo,XC60,9788,Electric,Automatic,Demonstration,66990,303.0,2020,3
Audi A6,Audi,A6,13400,Diesel,Automatic,Used,72890,349.0,2020,3
Audi A6,Audi,A6,29870,Diesel,Automatic,Used,57872,286.0,2020,3
Audi A6,Audi,A6,23201,Gasoline,Automatic,Used,64845,340.0,2020,3
Audi A6,Audi,A6,15153,Gasoline,Automatic,Used,67482,340.0,2020,3
Audi A6,Audi,A6,16772,Gasoline,Automatic,Used,67959,340.0,2020,3
Audi A6,Audi,A6,10524,Diesel,Automatic,Used,68872,286.0,2020,3
Ford Mondeo,Ford,Mondeo,19100,Gasoline,Automatic,Used,26950,188.0,2020,3
Ford Kuga,Ford,Kuga,9847,Gasoline,Manual,Employee's car,26970,150.0,2020,3
Ford Kuga,Ford,Kuga,10,Gasoline,Manual,Employee's car,26970,150.0,2020,3
Ford Mondeo,Ford,Mondeo,14210,Gasoline,Automatic,Used,26985,188.0,2020,3
Volkswagen T-Roc,Volkswagen,T-Roc,4039,Gasoline,Automatic,Employee's car,26990,150.0,2020,3
Audi A3,Audi,A3,9999,Gasoline,Manual,Demonstration,27330,150.0,2020,3
Volkswagen Golf,Volkswagen,Golf,50,Gasoline,Manual,Demonstration,27370,131.0,2020,3
Volkswagen Passat,Volkswagen,Passat,20000,Diesel,Automatic,Used,27440,150.0,2020,3
SEAT Leon,SEAT,Leon,9450,Diesel,Automatic,Demonstration,27449,150.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,6345,Diesel,Automatic,Used,27455,150.0,2020,3
Ford Kuga,Ford,Kuga,4352,Electric,Manual,Employee's car,27470,150.0,2020,3
Ford Kuga,Ford,Kuga,12073,Electric,Manual,Employee's car,27470,150.0,2020,3
Ford Kuga,Ford,Kuga,7291,Gasoline,Manual,Employee's car,27470,150.0,2020,3
Volkswagen T-Roc,Volkswagen,T-Roc,4380,Gasoline,Automatic,Employee's car,27525,150.0,2020,3
Volkswagen Golf,Volkswagen,Golf,11360,Diesel,Automatic,Employee's car,27870,150.0,2020,3
Ford Kuga,Ford,Kuga,5890,Gasoline,Manual,Used,27980,150.0,2020,3
Volkswagen Caddy,Volkswagen,Caddy,17030,Gasoline,Automatic,Used,28370,131.0,2020,3
Volkswagen Golf Sportsvan,Volkswagen,Golf Sportsvan,9540,Diesel,Automatic,Employee's car,28440,150.0,2020,3
Hyundai Tucson,Hyundai,Tucson,10,Electric,Manual,Pre-registered,28490,150.0,2020,3
Ford Fiesta,Ford,Fiesta,1129,Gasoline,Manual,Employee's car,10390,75.0,2020,3
Ford Fiesta,Ford,Fiesta,7,Gasoline,Manual,Pre-registered,11500,75.0,2020,3
Ford Fiesta,Ford,Fiesta,29993,Gasoline,Manual,Used,12450,86.0,2020,3
Ford EcoSport,Ford,EcoSport,19124,Gasoline,Manual,Employee's car,14650,101.0,2020,3
Ford EcoSport,Ford,EcoSport,11584,Gasoline,Manual,Employee's car,15950,101.0,2020,3
Ford Fiesta,Ford,Fiesta,2075,Diesel,Manual,Employee's car,16350,86.0,2020,3
